CALLE;NUMERO;M2;DOLARES;U_S_M2;PISO;AMBIENTES;DORMITORIO;ANTIGUEDAD;A_ESTRENAR;FRENTE_Y_CONTRA;EDIFICACION;BAUL;COCHERA;BANIOS;LAVADERO;DEPENDENCIA;TERRAZA;OBS1;FUENTE;DIRECCION;NOMB_CA_CO;AV_SCORE;AV_SIDE;BARRIOS;COMUNA;AREA;ZONA
        GARAY, JUAN DE;1200;73;87000;1191,8;;3;2;45;;FRENTE;;;;2;SI;SI;;;ZONAPROP/CONSTITUCION;1200 GARAY, JUAN DE;AV. JUAN DE GARAY;95;L;CONSTITUCION;1;2.102.671.125;4
        ITUZAINGO;900;82;173460;2115,4;;3;2;10;;FRENTE;;;;2;SI;SI;;;INMUEBLESCLARIN.COM/BARRACAS;900 ITUZAINGO;ITUZAINGO;100;L;BARRACAS;4;7.878.302.179;4
        MISTRAL, GABRIELA;3100;149;265000;1778,5;5;3;3;29;;CONTRAFRENTE;;;SI;3;;;BALCON TERRAZA;;ARGENPROP.COM/VILLAPUEYRREDON;3100 MISTRAL, GABRIELA;GABRIELA MISTRAL;96;L;VILLA PUEYRREDON;12;3.302.910,10;3
        SARMIENTO;3500;56;115000;2053,6;11;2;2;35;;FRENTE;;;;1;;;BALCON;;ARGENPROP.COM/ALMAGRO;3500 SARMIENTO;SARMIENTO;100;L;ALMAGRO;5;4.051.222.618;3
        11 DE SEPTIEMBRE DE 1888;1300;350;1490000;4257,1;;5;4;22;;FRENTE;;SI;SI;5;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;1300 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;PALERMO;14;15.773.573.191;2
        MELINCUE;2600;38;90000;2368,4;;3;2;10;;FRENTE;;SI;SI;0;SI;SI;TERRAZA;;ZONAPROP.COM_VILLA DEL PARQUE;2600 MELINCUE;MELINCUE;100;L;VILLA DEL PARQUE;11;3.398.880.018;3
        GUTIERREZ, JUAN MARIA;2500;48;130000;2708,3;4;0;0;;;FRENTE;;;;1;;;BALCON;;ARGENPROP.COM/BARRIONORTE;2500 GUTIERREZ, JUAN MARIA;JUAN MARIA GUTIERREZ;34;;RECOLETA;2;6.146.826.409;2
        GORRITI;3700;150;249000;1660;;3;2;;A ESTRENAR;CONTRAFRENTE;DUPLEX;;;1;SI;;TERRAZA;;ARGENPROP.COM/PALERMO;3700 GORRITI;GORRITI;100;L;PALERMO;14;15.773.573.191;2
        ECUADOR;500;95;119000;1252,6;1;3;2;35;;FRENTE;;;;0;SI;SI;BALCON;;ARGENPROP.COM/BALVANERA;500 ECUADOR;ECUADOR;100;L;BALVANERA;3;4.341.063.997;3
        FRAY JUSTO SANTAMARIA DE ORO;2800;53;218000;4113,2;;1;1;;;CONTRAFRENTE;;;;1;;;BALCON;;ARGENPROP.COM/PALERMO;2800 FRAY JUSTO SANTAMARIA DE ORO;FRAY JUSTO SANTA MARIA DE ORO;95;L;PALERMO;14;15.773.573.191;2
        IRIGOYEN;1600;80;155000;1937,5;;4;3;10;;;;;SI;2;;;;;ZONAPROP.COM_VERSALLES;1600 IRIGOYEN;IRIGOYEN;100;L;MONTE CASTRO;10;2.625.868.961;3
        11 DE SEPTIEMBRE DE 1888;2100;215;430000;2000;;4;3;;;CONTRAFRENTE;DUPLEX;;SI;4;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;2100 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;37;;BELGRANO;13;7.929.988.805;2
        MITRE, BARTOLOME;4000;62;118000;1903,2;6;3;2;44;;CONTRAFRENTE;;;;2;SI;;;;INMUEBLESCLARIN.COM/ALMAGRO;4000 MITRE, BARTOLOME;BARTOLOME MITRE;95;L;ALMAGRO;5;4.051.222.618;3
        PUEYRREDON;1400;100;215000;2150;9;2;2;70;;FRENTE;;;;2;;SI;BALCON;;ARGENPROP.COM/BARRIONORTE;1400 PUEYRREDON;AV. PUEYRREDON;100;L;RECOLETA;2;6.146.826.409;2
        MEXICO;600;128;138000;1078,1;;4;3;50;;INTERNO;;;;0;SI;SI;TERRAZA;;ZONAPROP.COM_MONSERRAT;600 MEXICO;MEXICO;100;L;MONTSERRAT;1;2.200.624.563;1
        DIAZ CNEL.;2100;250;980000;3920;;5;4;20;;CONTRAFRENTE;;;SI;3;SI;;TERRAZA;;ZONAPROP/BARRIO NORTE;2100 DIAZ CNEL.;AV. CORONEL DIAZ;88;L;RECOLETA;2;6.146.826.409;2
        FLORIDA;1000;282;850000;3009,1;;5;3;70;;FRENTE;;;;3;SI;SI;;;ZONAPROP/BARRIO NORTE;1000 FLORIDA;FLORIDA;37;;RETIRO;1;4.547.765.746;1
        PARAGUAY;2300;51;148000;2902;4;3;2;35;;CONTRAFRENTE;;;;1;SI;;BALCON;;ARGENPROP.COM/BARRIONORTE;2300 PARAGUAY;PARAGUAY;100;L;RECOLETA;2;6.146.826.409;2
        MISTRAL, GABRIELA;3400;45;93000;2066,7;2;0;0;;A ESTRENAR;CONTRAFRENTE;;;;1;;;BALCON;;ARGENPROP.COM/VILLADEVOTO;3400 MISTRAL, GABRIELA;GABRIELA MISTRAL;96;L;VILLA DEVOTO;11;6.403.818.336;3
        PACHECO DE MELO, JOSE ANDRES;2700;40;104000;2600;;0;0;;A ESTRENAR;FRENTE;;;;1;;;BALCON;;ARGENPROP.COM/BARRIONORTE;2700 PACHECO DE MELO, JOSE ANDRES;JOSE ANDRES PACHECO DE MELO;95;L;RECOLETA;2;6.146.826.409;2
        11 DE SEPTIEMBRE DE 1888;4200;50;155000;3100;;2;1;;A ESTRENAR;FRENTE;;;SI;0;;;;;BUSCAINMUEBLE/NUÑEZ;4200 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13;4.351.538.489;2
        11 DE SEPTIEMBRE DE 1888;4200;100;295000;2950;;3;2;3;;FRENTE;;;SI;2;SI;;TERRAZA;;ZONAPROP/NUÑEZ;4200 11 DE SEPTIEMBRE DE 1888;11 DE SEPTIEMBRE DE 1888;100;L;NUÑEZ;13;4.351.538.489;2
        TUCUMAN;3000;41;79500;1939;;1;1;35;;LATERAL;;;;0;;;;;ARGENPROP.COM/ABASTO;3000 TUCUMAN;TUCUMAN;100;L;BALVANERA;3;4.341.063.997;3
        SANCHEZ DE BUSTAMANTE;1600;196;358000;1826,5;;4;3;45;;;;SI;;3;SI;SI;;;INMUEBLESCLARIN.COM/BARIO NORTE;1600 SANCHEZ DE BUSTAMANTE;SANCHEZ DE BUSTAMANTE;100;L;RECOLETA;2;6.146.826.409;2
        HOLMBERG;2400;274;429000;1565,7;5;3;2;;A ESTRENAR;FRENTE;;;;2;SI;;TERRAZA;;ARGENPROP.COM/VILLAURQUIZA;2400 HOLMBERG;HOLMBERG;100;L;VILLA URQUIZA;12;5.448.470.069;3
        JUJUY;200;41;70000;1707,3;6;2;1;30;;FRENTE;;;;1;SI;;BALCON;;ARGENPROP.COM/BALVANERA;200 JUJUY;AV. JUJUY;100;L;BALVANERA;3;4.341.063.997;3
        NAZCA;4600;46;85000;1847,8;6;2;1;27;;CONTRAFRENTE;;;;0;;;;;ZONAPROP.COM_VILLA PUEYRREDON;4600 NAZCA;NAZCA;100;L;VILLA PUEYRREDON;12;3.302.910,10;3
        2 DE ABRIL DE 1982;6700;70;45000;642,9;;4;3;35;;;;;;1;SI;;PATIO;;ARGENPROP.COM/VILLALUGANO;6700 2 DE ABRIL DE 1982;2 DE ABRIL DE 1982;100;L;VILLA LUGANO;8;8.991.811.686;4
        24 DE NOVIEMBRE;100;38;56000;1473,7;7;0;0;60;;CONTRAFRENTE;;;;1;;;;;ARGENPROP.COM/ALMAGRO;100 24 DE NOVIEMBRE;24 DE NOVIEMBRE;100;L;BALVANERA;3;4.341.063.997;3
        CORRIENTES;4000;50;125000;2500;;2;1;;;LATERAL;;;;0;SI;;;;INMUEBLESCLARIN.COM/ALMAGRO;4000 CORRIENTES;AV. CORRIENTES;100;L;ALMAGRO;5;4.051.222.618;3
        JUNIN;200;104;198000;1903,8;2;3;2;;;FRENTE;;;;0;;;;;INMUEBLESCLARIN.COM/BALVANERA;200 JUNIN;JUNIN;100;L;BALVANERA;3;4.341.063.997;3
        ZABALA;1800;390;1290000;3307,7;;5;4;40;;FRENTE;;SI;SI;3;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;1800 ZABALA;ZABALA;100;L;PALERMO;14;15.773.573.191;2
        TUCUMAN;300;46;89000;1934,8;PB;1;0;60;;CONTRAFRENTE;;;;0;;;;;ZONAPROP.COM_RETIRO;300 TUCUMAN;TUCUMAN;100;L;SAN NICOLAS;1;2.288.975.233;1
        TUNEZ;2500;102;210000;2058,8;;3;2;;;FRENTE;;;;2;;;TERRAZA;;ZONAPROP/BELGRANO;2500 TUNEZ;TUNEZ;37;;BELGRANO;13;7.929.988.805;2
        SEGUROLA;2700;130;285000;2192,3;;3;3;25;;FRENTE;;;SI;0;SI;SI;BALCON;;ARGENPROP.COM/VILLADEVOTO;2700 SEGUROLA;AV. SEGUROLA;100;L;VILLA DEVOTO;11;6.403.818.336;3
        PACHECO DE MELO, JOSE ANDRES;2300;30;108000;3600;4;0;0;9;;CONTRAFRENTE;;;;1;;;BALCON;;ARGENPROP.COM/BARRIONORTE;2300 PACHECO DE MELO, JOSE ANDRES;JOSE ANDRES PACHECO DE MELO;95;L;RECOLETA;2;6.146.826.409;2
        24 DE NOVIEMBRE;400;35;110000;3142,9;5;2;1;;A ESTRENAR;FRENTE;;;;1;;;;;BUSCAINMUEBLE/ABASTO;400 24 DE NOVIEMBRE;24 DE NOVIEMBRE;100;L;BALVANERA;3;4.341.063.997;3
        GAMBOA, MARCELO;6500;65;105000;1615,4;;2;1;1;;FRENTE;;;;0;SI;;BALCON;;ZONAPROP.COM_VERSALLES;6500 GAMBOA, MARCELO;MARCELO GAMBOA;95;L;VERSALLES;10;1.407.296.672;3
        SARMIENTO;4300;52;115000;2211,5;;2;2;40;;CONTRAFRENTE;;;;1;;;BALCON;;ARGENPROP.COM/ALMAGRO;4300 SARMIENTO;AV. SARMIENTO;100;L;ALMAGRO;5;4.051.222.618;3
        24 DE NOVIEMBRE;400;80;115000;1437,5;1;3;3;;;FRENTE;;;;0;SI;SI;;;ARGENPROP.COM/BALVANERA;400 24 DE NOVIEMBRE;24 DE NOVIEMBRE;100;L;BALVANERA;3;4.341.063.997;3
        PASCO;600;96;125000;1302,1;;2;1;;;INTERNO;;;;0;SI;SI;TERRAZA;;ZONAPROP.COM_SAN CRISTOBAL;600 PASCO;PASCO;100;L;BALVANERA;3;4.341.063.997;3
        MOLDES;1900;85;157000;1847,1;;3;2;40;;CONTRAFRENTE;;;;1;SI;SI;TERRAZA;;ZONAPROP/BELGRANO;1900 MOLDES;MOLDES;100;L;BELGRANO;13;7.929.988.805;2
        PALPA;3000;105;204000;1942,9;;3;2;40;;CONTRAFRENTE;;;SI;2;SI;;TERRAZA;;ZONAPROP/COLEGIALES;3000 PALPA;PALPA;100;L;COLEGIALES;13;2.288.708.124;2
        RIVADAVIA;8600;60;98000;1633,3;;3;2;10;;FRENTE;;;;0;SI;SI;;;ZONAPROP.COM_LINIERS;8600 RIVADAVIA;AV. RIVADAVIA;100;L;VELEZ SARSFIELD;10;2.400.948.744;3
        24 DE NOVIEMBRE;1600;63;99000;1571,4;;3;2;;;FRENTE;;;;1;;;TERRAZA;;ZONAPROP/BOEDO;1600 24 DE NOVIEMBRE;24 DE NOVIEMBRE;100;L;PARQUE PATRICIOS;4;3.743.273.658;4
        VALLEJOS;3200;43;98500;2290,7;6;1;1;1;;FRENTE;;;SI;1;SI;;BALCON;;ARGENPROP.COM/VILLADEVOTO;3200 VALLEJOS;VALLEJOS;100;L;VILLA PUEYRREDON;12;3.302.910,10;3
        RUY DIAZ DE GUZMAN;100;38;75000;1973,7;5;2;1;35;;LATERAL;;;;0;;;;;INMUEBLESCLARIN.COM/BARRACAS;100 RUY DIAZ DE GUZMAN;RUY DIAZ DE GUZMAN;100;L;BARRACAS;4;7.878.302.179;4
        SASTRE, MARCOS;4400;52;105000;2019,2;3;2;1;1;;CONTRAFRENTE;;;;1;SI;;BALCON;;ARGENPROP.COM/VILLADEVOTO;4400 SASTRE, MARCOS;MARCOS SASTRE;95;L;MONTE CASTRO;10;2.625.868.961;3
        CHARCAS;2500;93;190000;2043;2;4;3;80;;CONTRAFRENTE;;;;0;SI;SI;;;INMUEBLESCLARIN.COM/BARIO NORTE;2500 CHARCAS;CARACAS;70;L;VILLA DEL PARQUE;11;3.398.880.018;3
        GARCIA, TEODORO;2300;298;680000;2281,9;;7;6;30;;;;SI;SI;4;SI;SI;TERRAZA;;INMUEBLESCLARIN.COM/BELGRANO;2300 GARCIA, TEODORO;TEODORO GARCIA;95;L;PALERMO;14;15.773.573.191;2
        YERBAL;2200;107;148000;1383,2;;3;2;60;;CONTRAFRENTE;;;;2;SI;SI;;;ZONAPROP/FLORES;2200 YERBAL;YERBAL;100;L;FLORES;7;8.594.550.061;3
        GUEMES;3700;25;66000;2640;2;1;0;30;;FRENTE;;;;1;;;;;ARGENPROP.COM/PALERMO;3700 GUEMES;GÜEMES;100;L;PALERMO;14;15.773.573.191;2
        GASCON;200;45;109800;2440;6;2;1;;A ESTRENAR;FRENTE;;;;0;;;;;INMUEBLESCLARIN.COM/ALMAGRO;200 GASCON;GASCON;100;L;ALMAGRO;5;4.051.222.618;3
        DIAZ COLODRERO;2700;45;92500;2055,6;;2;1;6;;CONTRAFRENTE;;;;1;;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;2700 DIAZ COLODRERO;DIAZ COLODRERO;100;L;VILLA URQUIZA;12;5.448.470.069;3
        LARRAZABAL;400;96;150000;1562,5;1;3;2;;;CONTRAFRENTE;;;;2;SI;SI;TERRAZA;;ZONAPROP.COM_LINIERS;400 LARRAZABAL;LARRAZABAL;100;L;LINIERS;9;4.374.207.539;3
        3 DE FEBRERO;1800;189;470000;2486,8;;5;4;;;;;SI;SI;3;;SI;TERRAZA;;INMUEBLESCLARIN.COM/BELGRANO;1800 3 DE FEBRERO;3 DE FEBRERO;100;L;BELGRANO;13;7.929.988.805;2
        PERON, JUAN DOMINGO, TTE.;2600;188;230000;1223,4;;5;4;90;;FRENTE;;SI;;4;SI;SI;TERRAZA;;BUSCAINMUEBLE/ONCE;2600 PERON, JUAN DOMINGO, TTE.;TENIENTE GENERAL JUAN DOMINGO PERON;92;L;BALVANERA;3;4.341.063.997;3
        3 DE FEBRERO;1900;173;530000;3063,6;;4;3;29;;CONTRAFRENTE;;SI;SI;3;SI;SI;TERRAZA;;INMUEBLESCLARIN.COM/BELGRANO;1900 3 DE FEBRERO;3 DE FEBRERO;100;L;BELGRANO;13;7.929.988.805;2
        PARAGUAY;600;50;105000;2100;5;2;1;20;;FRENTE;;;;0;;;;;INMUEBLESCLARIN.COM/BARIO NORTE;600 PARAGUAY;PARAGUAY;100;L;RETIRO;1;4.547.765.746;1
        PUEYRREDON;700;112;199900;1784,8;;4;3;50;;FRENTE;SEMIPISO;;;2;SI;SI;BALCON;;ARGENPROP.COM/BARRIONORTE;700 PUEYRREDON;AV. PUEYRREDON;100;L;BALVANERA;3;4.341.063.997;3
        LOPEZ MERINO, FRANCISCO;4000;34;69000;2029,4;;2;1;;;FRENTE;;;;0;SI;;TERRAZA;;ZONAPROP.COM_VILLA PUEYRREDON;4000 LOPEZ MERINO, FRANCISCO;FRANCISCO LOPEZ MERINO;97;L;AGRONOMIA;15;2.122.760,91;3
        ORURO;1500;90;152000;1688,9;;3;2;;;FRENTE;;;SI;0;;;PATIO;;ZONAPROP.COM_SAN CRISTOBAL;1500 ORURO;ORURO;100;L;SAN CRISTOBAL;3;2.043.952.644;4
        CORRIENTES;1700;167;300000;1796,4;;5;4;;45;FRENTE;;;;3;;;;;ZONAPROP.COM_TRIBUNALES;1700 CORRIENTES;AV. CORRIENTES;100;L;SAN NICOLAS;1;2.288.975.233;1
        SARANDI;100;38;74000;1947,4;PB;2;1;;A ESTRENAR;CONTRAFRENTE;;;;0;;;PATIO;;INMUEBLESCLARIN.COM/BALVANERA;100 SARANDI;SARANDI;100;L;BALVANERA;3;4.341.063.997;3
        ACASSUSO;6100;46;72000;1565,2;;2;1;;;INTERNO;TIPO CASA;;;0;SI;SI;PATIO;;ZONAPROP.COM_LINIERS;6100 ACASSUSO;ACASSUSO;100;L;LINIERS;9;4.374.207.539;3
        RUY DIAZ DE GUZMAN;300;81;115000;1419,8;;2;1;2;;FRENTE;;;;1;;;TERRAZA;;ZONAPROP/BARRACAS;300 RUY DIAZ DE GUZMAN;RUY DIAZ DE GUZMAN;100;L;BARRACAS;4;7.878.302.179;4
        CONGRESO;4700;49;91000;1857,1;1;2;1;;5;CONTRAFRENTE;;;;1;SI;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;4700 CONGRESO;AV. CONGRESO;100;L;VILLA URQUIZA;12;5.448.470.069;3
        CEVALLOS, VIRREY;1100;100;129000;1290;;4;3;40;;CONTRAFRENTE;;;;2;;;;;ZONAPROP.COM_MONSERRAT;1100 CEVALLOS, VIRREY;VIRREY CEVALLOS;95;L;CONSTITUCION;1;2.102.671.125;4
        LASCANO;2800;43;82000;1907;;3;2;;A ESTRENAR;;;;;0;;;;;ZONAPROP.COM_VILLA DEL PARQUE;2800 LASCANO;LASCANO;100;L;VILLA DEL PARQUE;11;3.398.880.018;3
        PAZ, GRAL.;700;315;235000;746;PB;4;4;;;FRENTE;;SI;SI;4;;;TERRAZA;;;700 PAZ, GRAL.;AV. GENERAL PAZ;87;L;NUÑEZ;13;4.351.538.489;2
        JUNCAL;2100;120;310000;2583,3;2;3;3;100;;INTERNO;;;;1;;;;;ARGENPROP.COM/BARRIONORTE;2100 JUNCAL;JUNCAL;100;L;RECOLETA;2;6.146.826.409;2
        RAMIREZ DE VELAZCO, JUAN;200;41;82000;2000;;2;1;;;LATERAL;;;;0;;;;;ZONAPROP.COM_SAN TELMO;200 RAMIREZ DE VELAZCO, JUAN;JUAN RAMIREZ DE VELASCO;97;L;VILLA CRESPO;15;3.613.373.642;3
        ACEVEDO;200;58;140000;2413,8;5;3;2;35;;CONTRAFRENTE;;SI;;0;SI;;;;ZONAPROP.COM_SAN TELMO;200 ACEVEDO;ACEVEDO;100;L;VILLA CRESPO;15;3.613.373.642;3
        DE LA TORRE, LISANDRO;1100;40;85000;2125;;2;1;10;;FRENTE;;;;0;SI;SI;;;ZONAPROP.COM_LINIERS;1100 DE LA TORRE, LISANDRO;LISANDRO DE LA TORRE;96;L;LINIERS;9;4.374.207.539;3
        LEGUIZAMON, MARTINIANO;1600;39;88972;2281,3;;2;1;;A ESTRENAR;FRENTE;;SI;;0;SI;SI;BALCON;;ZONAPROP.COM_MATADEROS;1600 LEGUIZAMON, MARTINIANO;MARTINIANO LEGUIZAMON;97;L;MATADEROS;9;7.398.564,74;4
        MILLER;2300;49;130000;2653,1;4;2;1;13;;FRENTE;SEMIPISO;;SI;1;SI;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;2300 MILLER;MILLER;100;L;VILLA URQUIZA;12;5.448.470.069;3
        ACEVEDO;600;52;125000;2403,8;;2;1;;;;;;;1;;;;;ARGENPROP.COM/PALERMO;600 ACEVEDO;ACEVEDO;100;L;VILLA CRESPO;15;3.613.373.642;3
        CORRIENTES;2900;110;215000;1954,5;8;4;3;;A ESTRENAR;FRENTE;;;;3;SI;SI;TERRAZA;;BUSCAINMUEBLE/ONCE;2900 CORRIENTES;AV. CORRIENTES;100;L;BALVANERA;3;4.341.063.997;3
        ACEVEDO;600;70;145000;2071,4;;3;2;;;CONTRAFRENTE;;;;2;SI;SI;BALCON;;ZONAPROP.COM_SAN TELMO;600 ACEVEDO;ACEVEDO;100;L;VILLA CRESPO;15;3.613.373.642;3
        NAZCA;2600;139;192500;1384,9;;4;3;20;;CONTRAFRENTE;;SI;SI;0;SI;SI;TERRAZA;;ZONAPROP.COM_VILLA DEL PARQUE;2600 NAZCA;AV. NAZCA;100;L;VILLA DEL PARQUE;11;3.398.880.018;3
        ACEVEDO;900;46;115000;2500;2;1;1;;;FRENTE;;;;1;SI;;BALCON;;ARGENPROP.COM/PALERMO;900 ACEVEDO;ACEVEDO;100;L;VILLA CRESPO;15;3.613.373.642;3
        GALLO;1400;250;460000;1840;;5;4;40;;FRENTE;;SI;SI;2;SI;SI;TERRAZA;;INMUEBLESCLARIN.COM/BARIO NORTE;1400 GALLO;GALLO;100;L;RECOLETA;2;6.146.826.409;2
        SANCHEZ DE BUSTAMANTE;800;39;87500;2243,6;;1;1;;A ESTRENAR;;;;SI;1;;;BALCON TERRAZA;;ARGENPROP.COM/ALMAGRO;800 SANCHEZ DE BUSTAMANTE;SANCHEZ DE BUSTAMANTE;100;L;ALMAGRO;5;4.051.222.618;3
        RIO DE JANEIRO;1000;35;77500;2214,3;2;0;0;;A ESTRENAR;FRENTE;;;;1;SI;;TERRAZA;;ARGENPROP.COM/ALMAGRO;1000 RIO DE JANEIRO;RIO DE JANEIRO;100;L;ALMAGRO;5;4.051.222.618;3
        SANTA MAGDALENA;500;25;50000;2000;;1;1;50;;LATERAL;;;;1;;;;;ZONAPROP/BARRACAS;500 SANTA MAGDALENA;SANTA MAGDALENA;100;L;BARRACAS;4;7.878.302.179;4
        PARAGUAY;1800;40;128000;3200;;1;1;2;;FRENTE;;;;1;;;TERRAZA;;ZONAPROP/BARRIO NORTE;1800 PARAGUAY;PARAGUAY;100;L;RECOLETA;2;6.146.826.409;2
        PUEYRREDON HONORIO DR.;400;66;176000;2666,7;;3;2;;A ESTRENAR;FRENTE;;;;2;SI;;TERRAZA;;ZONAPROP/CABALLITO;400 PUEYRREDON HONORIO DR.;AV. DR. HONORIO PUEYRREDON;59;L;CABALLITO;6;6.851.079.059;3
        HELGUERA;2800;89;175000;1966,3;4;2;2;10;;CONTRAFRENTE;SEMIPISO;;;1;SI;;BALCON;;ARGENPROP.COM/VILLADELPARQUE;2800 HELGUERA;HELGUERA;100;L;VILLA DEL PARQUE;11;3.398.880.018;3
        CORDOBA;1500;61;155000;2541;;3;2;;40;FRENTE;;;;0;;;;;INMUEBLESCLARIN.COM/BARIO NORTE;1500 CORDOBA;AV. CORDOBA;100;L;RECOLETA;2;6.146.826.409;2
        GARCIA TEODORO;2900;32;72000;2250;;2;1;30;;CONTRAFRENTE;;;;1;;;;;ZONAPROP/COLEGIALES;2900 GARCIA TEODORO;TEODORO GARCIA;95;L;COLEGIALES;13;2.288.708.124;2
        ACHA, MARIANO, GRAL.;1900;60;140000;2333,3;3;1;1;;A ESTRENAR;CONTRAFRENTE;;;SI;0;;;TERRAZA;;ARGENPROP.COM/VILLAURQUIZA;1900 ACHA, MARIANO, GRAL.;MARIANO ACHA;90;L;VILLA URQUIZA;12;5.448.470.069;3
        CHILE;4400;50;138000;2760;3;2;1;;A ESTRENAR;FRENTE;;;;2;;;TERRAZA;;BUSCAINMUEBLE/ABASTO;4400 CHILE;CHILE;100;L;SAN TELMO;1;1.233.152,82;4
        SCALABRINI ORTIZ, RAUL;2800;215;450000;2093;2;3;3;33;;FRENTE;;;SI;2;SI;SI;TERRAZA;;ARGENPROP.COM/PALERMO;2800 SCALABRINI ORTIZ, RAUL;RAUL SCALABRINI ORTIZ;97;L;PALERMO;14;15.773.573.191;2
        JUNCAL;4500;50;139500;2790;;1;1;;;;;;;1;;;;;ARGENPROP.COM/PALERMO;4500 JUNCAL;JUNCAL;100;L;PALERMO;14;15.773.573.191;2
        ZELADA;5800;65;84000;1292,3;1;2;1;10;;CONTRAFRENTE;POR ESCALERA;;;0;SI;SI;TERRAZA;;ZONAPROP.COM_MATADEROS;5800 ZELADA;ZELADA;100;L;MATADEROS;9;7.398.564,74;4
        MONTIEL;1600;64;110000;1718,8;;2;1;5;;FRENTE;;;;0;SI;SI;;;ZONAPROP.COM_MATADEROS;1600 MONTIEL;MONTIEL;100;L;MATADEROS;9;7.398.564,74;4
        CONGRESO;4900;81;169000;2086,4;3;3;2;;;FRENTE;;SI;;2;SI;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;4900 CONGRESO;AV. CONGRESO;100;L;VILLA URQUIZA;12;5.448.470.069;3
        CORRIENTES;4400;50;114999;2300;6;1;1;;A ESTRENAR;CONTRAFRENTE;;SI;;1;SI;;BALCON;;ARGENPROP.COM/ALMAGRO;4400 CORRIENTES;AV. CORRIENTES;100;L;ALMAGRO;5;4.051.222.618;3
        MORAN, PEDRO;2100;80;133000;1662,5;;3;2;35;;FRENTE;;;;1;SI;;TERRAZA;;ZONAPROP/AGRONOMIA;2100 MORAN, PEDRO;PEDRO MORAN;32;;AGRONOMIA;15;2.122.760,91;3
        MARMOL, JOSE;100;100;280000;2800;;2;2;40;;FRENTE;;;SI;2;SI;;BALCON;;ARGENPROP.COM/ALMAGRO;100 MARMOL, JOSE;JOSE MARMOL;94;L;ALMAGRO;5;4.051.222.618;3
        GUEMES;3900;95;208000;2189,5;;3;3;;;FRENTE;;;;0;;;TERRAZA;;ARGENPROP.COM/PALERMO;3900 GUEMES;GÜEMES;100;L;PALERMO;14;15.773.573.191;2
        DEAN FUNES;500;48;85000;1770,8;3;2;1;35;;FRENTE;;;;0;SI;;;;INMUEBLESCLARIN.COM/BALVANERA;500 DEAN FUNES;DEAN FUNES;100;L;BALVANERA;3;4.341.063.997;3
        PUAN;100;60;115333;1922,2;;1;1;;A ESTRENAR;FRENTE;;;SI;1;;;TERRAZA;;ZONAPROP/CABALLITO;100 PUAN;PUAN;100;L;CABALLITO;6;6.851.079.059;3
        CERETTI;2200;46;88000;1913;9;0;0;;;FRENTE;;;;1;;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;2200 CERETTI;CERETTI;100;L;VILLA URQUIZA;12;5.448.470.069;3
        VUELTA DE OBLIGADO;1700;185;635000;3432,4;;4;3;15;;FRENTE;;;SI;4;;;TERRAZA;;ZONAPROP/BELGRANO;1700 VUELTA DE OBLIGADO;VUELTA DE OBLIGADO;37;;BELGRANO;13;7.929.988.805;2
        JAURES, JEAN;300;28;48000;1714,3;3;1;1;;;LATERAL;;;;1;;;;;BUSCAINMUEBLE/ALMAGRO;300 JAURES, JEAN;JEAN JAURES;94;L;BALVANERA;3;4.341.063.997;3
        POSADAS;1323;46;125000;2717,4;9;2;1;35;;CONTRAFRENTE;;SI;;0;SI;;PATIO;;INMUEBLESCLARIN.COM/BARIO NORTE;1323 POSADAS;POSADAS;100;R;RECOLETA;2;6.146.826.409;2
        PINO, VIRREY DEL;2000;172;629000;3657;;4;3;;;;;SI;SI;0;SI;SI;TERRAZA;;INMUEBLESCLARIN.COM/BELGRANO;2000 PINO, VIRREY DEL;VIRREY DEL PINO;95;L;BELGRANO;13;7.929.988.805;2
        ACOSTA, MARIANO;1365;59;99000;1678;3;4;3;;;FRENTE;;;;0;SI;SI;;;ZONAPROP.COM_PARQUE AVELLANEDA;1365 ACOSTA, MARIANO;MARIANO ACOSTA;95;R;PARQUE AVELLANEDA;9;5.034.992.076;4
        TRIUNVIRATO;3800;60;135000;2250;7;3;2;10;;FRENTE;;;;1;SI;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;3800 TRIUNVIRATO;AV. TRIUNVIRATO;100;L;PARQUE CHAS;15;1.384.889.921;3
        JURAMENTO;500;70;155900;2227,1;8;2;1;;A ESTRENAR;CONTRAFRENTE;;;;1;SI;;BALCON;;ARGENPROP.COM/VILLAURQUIZA;500 JURAMENTO;JURAMENTO;100;R;BELGRANO;13;7.929.988.805;2
